IDs         length   Exptl.  resolution  R-factor FreeRvalue
4EMTA       188      XRAY        1.500    0.19    0.21
3MABA        93      XRAY        1.420    0.17    0.21
4K12B        84      XRAY        1.080    0.15    0.17
2QUDA       125      XRAY        1.600    0.16    0.20
4LX3A       108      XRAY        1.500    0.17    0.19
5KLEA        97      XRAY        1.500    0.16    0.18
3KYZA       125      XRAY        1.500    0.15    0.18
3T47A        81      XRAY        1.300    0.16    0.19
2XOLA       176      XRAY        1.350    0.15    0.18
4G7XA       105      XRAY        1.440    0.21    0.22
3ZSJA       138      XRAY        0.860    0.13    0.14
1W0NA       131      XRAY        0.800    0.13    0.14
3L1NA       194      XRAY        1.300    0.18    0.20
5M1PA       191      XRAY        1.100    0.22    0.23
5GPIA        53      XRAY        1.580    0.17    0.20
5IT3A        85      XRAY        1.400    0.16    0.19
5B7GA       249      XRAY        1.400    0.15    0.16
3BO6A       220      XRAY        1.400    0.16    0.19
4UQZB       172      XRAY        1.600    0.19    0.22
2GPIA        91      XRAY        1.600    0.15    0.17
4IC4A       397      XRAY        1.500    0.22    0.23
5MAOA        71      XRAY        1.350    0.24    0.25
3BHWA       209      XRAY        1.500    0.24    0.28
1VBWA        68      XRAY        0.930    0.11    0.14
3T92A       121      XRAY        1.500    0.18    0.23
4ZLDA       155      XRAY        1.600    0.16    0.18
5B1AK        56      XRAY        1.500    0.15    0.17
4Z3GA       198      XRAY        1.450    0.17    0.19
2ODKA        89      XRAY        1.400    0.14    0.15
2B0AA       186      XRAY        1.450    0.19    0.22
5TJXA       263      XRAY        1.410    0.16    0.18
2CVIA        83      XRAY        1.500    0.20    0.23
2CIOB       121      XRAY        1.500    0.18    0.23
2BZ1A       196      XRAY        1.540    0.19    0.21
4PJ2A       135      XRAY        1.240    0.15    0.17
3FKEA       129      XRAY        1.400    0.20    0.24
5A0YB       443      XRAY        1.100    0.11    0.13
1MJ5A       302      XRAY        0.950    0.11    0.14
3ZNVA       275      XRAY        1.300    0.13    0.15
3WA2X       621      XRAY        1.080    0.13    0.15
2BZVA       181      XRAY        1.150    0.12    0.13
2PYQA       114      XRAY        1.500    0.18    0.20
2P4FA       299      XRAY        1.400    0.14    0.19
3LYDA       161      XRAY        1.450    0.17    0.19
2P6WA       213      XRAY        1.600    0.17    0.20
4NZKA       353      XRAY        1.490    0.13    0.16
1JB3A       131      XRAY        1.600    0.20    0.24
5FAFA       119      XRAY        1.050    0.13    0.17
2HEUA       401      XRAY        1.040    0.13    0.16
2I53A       258      XRAY        1.500    0.18    0.22
2Y5PA        74      XRAY        1.300    0.16    0.20
1J3AA       142      XRAY        1.600    0.21    0.23
1ZHVA       134      XRAY        1.500    0.24    0.25
4G6TA       128      XRAY        1.560    0.21    0.23
2QLWA       144      XRAY        1.600    0.15    0.18
2IELA       138      XRAY        1.600    0.27    0.28
5B1AD       147      XRAY        1.500    0.15    0.17
3HNYM       159      XRAY        1.070    0.20    0.20
1EAQA       140      XRAY        1.250    0.15    0.17
2O1QA       145      XRAY        1.500    0.18    0.21
3EA6A       219      XRAY        0.920    0.10    0.12
3S2RA        83      XRAY        1.140    0.19    0.20
4AK2A       288      XRAY        1.350    0.16    0.19
4RTHA       186      XRAY        1.600    0.17    0.19
2XOMA       152      XRAY        0.950    0.10    0.12
3AKSA       190      XRAY        0.970    0.19    0.19
1OZ2A       331      XRAY        1.550    0.19    0.22
3TEUA        98      XRAY        1.000    0.11    0.14
3SQZA       425      XRAY        1.200    0.14    0.15
1FO8A       343      XRAY        1.400    0.17    0.18
3M7AA       140      XRAY        1.220    0.12    0.15
3C8LA       122      XRAY        1.220    0.16    0.18
2DKOB       103      XRAY        1.060    0.14    0.17
3V9OA       143      XRAY        1.450    0.20    0.20
1GK9B       557      XRAY        1.300    0.15    0.17
4N2KA       690      XRAY        1.570    0.18    0.21
5GJIA       108      XRAY        0.900    0.13    0.14
3FSSA       237      XRAY        1.430    0.18    0.21
3I94A       248      XRAY        1.040    0.12    0.15
2OPCA       127      XRAY        1.430    0.20    0.23
2WLVA       144      XRAY        1.250    0.15    0.18
2RKLA        53      XRAY        1.500    0.22    0.25
4GEIA       150      XRAY        1.500    0.18    0.20
4QLPB       199      XRAY        1.100    0.13    0.14
1XODA       118      XRAY        1.150    0.15    0.18
5AL6A        49      XRAY        0.800    0.11    0.12
2P17A       277      XRAY        1.520    0.19    0.21
4CNNA       252      XRAY        1.000    0.13    0.15
1CCWB       483      XRAY        1.600    0.14    0.17
5FU5A       123      XRAY        1.500    0.19    0.22
2WTPA       131      XRAY        1.500    0.16    0.19
